Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
Come True,2020,5.9,"6,462","Horror, Sci-Fi",105 ,Film,Unrated,-,Moderate,Mild,Mild,None,Moderate
LOL: Last One Laughing Germany,2020,7.8,"2,063","Comedy, Reality-TV",None,Series,None,12,No Rate,No Rate,No Rate,No Rate,No Rate
Terms of Endearment,1983,7.4,"57,914","Comedy, Drama",132 ,Film,PG,-,Mild,Mild,Moderate,Moderate,Mild
Trick or Treat,1986,5.9,"6,435","Comedy, Horror, Music",98 ,Film,R,-,Moderate,Moderate,Moderate,None,Mild
The Lair of the White Worm,1988,5.9,"12,054","Comedy, Horror",93 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
Night Moves,1975,7.1,"13,806","Crime, Drama, Mystery",100 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
A Single Man,2009,7.5,"109,529","Drama, Romance",99 ,Film,R,-,Mild,Mild,Mild,Mild,Mild
Big City Greens,2009,7.1,"1,567","Animation, Adventure, Comedy",22 ,Series,TV-Y7,61,None,Mild,None,None,Mild
Dog Soldiers,2002,6.8,"57,828","Action, Horror, Thriller",105 ,Film,R,-,None,Severe,Severe,Mild,Moderate
Queen Bees,2021,6.0,887,"Comedy, Drama, Romance",100 ,Film,PG-13,-,None,None,Mild,Moderate,None
Gladiator 2,2021,No Rate,No Votes,"Action, Adventure, Drama",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Charlotte's Web,2006,6.3,"39,711","Adventure, Comedy, Family",97 ,Film,G,-,None,Mild,None,None,Mild
Being There,1979,8.0,"70,009","Comedy, Drama",130 ,Film,PG,-,Moderate,None,Mild,Mild,None
High Noon,1952,8.0,"101,009","Drama, Thriller, Western",85 ,Film,PG,-,None,Mild,None,Mild,Mild
Rumble,2022,No Rate,No Votes,"Animation, Comedy, Family",None,Film,PG,-,No Rate,No Rate,No Rate,No Rate,No Rate
Pompeii,2014,5.5,"108,932","Action, Adventure, Drama",105 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
Jack Whitehall: Travels with My Father,2014,7.6,"4,867","Documentary, Comedy",30 ,Series,TV-MA,18,Mild,None,Severe,Mild,None
22 July,2018,6.8,"31,745","Crime, Drama, History",143 ,Film,R,-,None,Severe,Moderate,None,Severe
America: The Motion Picture,2021,5.6,"5,365","Animation, Action, Adventure",98 ,Film,TV-MA,-,Moderate,Severe,Severe,Mild,Mild
The American,2010,6.3,"94,755","Action, Crime, Drama",105 ,Film,R,-,Moderate,Moderate,Mild,Mild,Mild
The Young Ones,2010,8.2,"14,246",Comedy,410 ,Series,TV-14,12,Mild,Moderate,Mild,Moderate,Mild
Truth Seekers,2020,7.1,"11,513","Comedy, Drama, Fantasy",223 ,Series,TV-14,9,Mild,Moderate,Moderate,Mild,Moderate
A Bridge Too Far,1977,7.4,"54,647","Drama, History, War",175 ,Film,PG,-,None,Moderate,Moderate,Mild,Moderate
On the Waterfront,1954,8.1,"148,903","Crime, Drama, Thriller",108 ,Film,Approved,-,None,Moderate,None,Mild,Moderate
Hercules: The Legendary Journeys,1954,6.5,"28,825","Action, Adventure, Drama",44 ,Series,TV-G,111,Mild,Moderate,Mild,Mild,Moderate
Man of God,2021,7.2,"1,461","Biography, Drama",109 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
A Perfect World,1993,7.5,"77,453","Crime, Drama, Thriller",138 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
Girls5eva,1993,7.1,"2,097","Comedy, Music",30 ,Series,TV-MA,9,Mild,None,Moderate,Mild,None
Alpha,2018,6.7,"59,238","Action, Adventure, Drama",96 ,Film,PG-13,-,None,Mild,None,None,Moderate
Black Water: Abyss,2020,4.5,"5,190","Action, Drama, Horror",98 ,Film,Not Rated,-,None,Moderate,Moderate,Mild,Moderate
DragonHeart,1996,6.5,"95,021","Action, Adventure, Fantasy",103 ,Film,PG-13,-,None,Moderate,Mild,Mild,Mild
The Secret Life of Pets 2,2019,6.5,"56,847","Animation, Adventure, Comedy",86 ,Film,PG,-,None,Mild,Mild,None,Mild
Dial M for Murder,1954,8.2,"167,287","Crime, Thriller",105 ,Film,PG,-,None,Mild,None,Mild,Moderate
Monamour,2005,5.3,"4,921",Drama,104 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Nothing But Trouble,1991,5.1,"23,688",Comedy,94 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Moderate
Being the Ricardos,1991,No Rate,No Votes,"Biography, Drama",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Killing of Two Lovers,2020,7.0,"2,646",Drama,85 ,Film,R,-,None,Mild,Mild,None,None
National Velvet,1944,7.3,"6,836","Drama, Family, Sport",123 ,Film,Passed,-,None,None,None,Mild,Mild
Letters from Iwo Jima,2006,7.9,"158,418","Action, Adventure, Drama",141 ,Film,R,-,None,Severe,Mild,Mild,Moderate
Swamp Thing,1982,5.4,"13,840","Horror, Sci-Fi",91 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
Be Cool,2005,5.6,"68,596","Comedy, Crime, Music",118 ,Film,PG-13,-,Mild,Moderate,Moderate,Moderate,Mild
The Family,2013,6.3,"113,996","Comedy, Crime, Thriller",111 ,Film,R,-,Mild,Severe,Moderate,Moderate,Moderate
My Week with Marilyn,2011,6.9,"85,326","Biography, Drama",99 ,Film,R,-,Mild,None,Moderate,Moderate,Mild
Das Boot,2011,7.4,"6,912","Drama, War",60 ,Series,TV-MA,26,Moderate,Severe,Moderate,Moderate,Moderate
Berlin Station,2011,7.6,"8,223","Drama, Thriller",60 ,Series,TV-MA,29,Moderate,No Rate,Moderate,No Rate,No Rate
Side Hustle,2011,5.7,395,Comedy,22 ,Series,TV-G,33,None,No Rate,No Rate,No Rate,No Rate
Sand Dollar Cove,2021,6.3,685,"Drama, Romance",84 ,Film,TV-G,-,None,None,None,None,None
The Houses October Built,2014,5.2,"9,102","Horror, Thriller",91 ,Film,Not Rated,-,Moderate,Mild,Moderate,Mild,Severe
Alpha Dog,2006,6.9,"101,228","Biography, Crime, Drama",122 ,Film,R,-,Moderate,Moderate,Severe,Severe,Moderate
Top Secret!,1984,7.2,"63,767","Comedy, Crime, Music",90 ,Film,PG,-,Moderate,Mild,Mild,Mild,None
Ek Thi Begum,2020,8.9,"6,038","Crime, Drama",27 ,Series,None,26,No Rate,No Rate,No Rate,No Rate,No Rate
La Reina del Sur,2020,8.0,"2,328","Action, Crime, Drama",378 ,Series,TV-14,124,No Rate,No Rate,No Rate,No Rate,No Rate
Just the Ten of Us,2020,7.0,"1,627","Comedy, Family",30 ,Series,TV-G,48,No Rate,No Rate,No Rate,No Rate,No Rate
The Titan,2018,4.8,"29,901","Drama, Mystery, Romance",97 ,Film,TV-MA,-,Mild,Severe,Moderate,Mild,Moderate
The Golden Child,1986,6.0,"54,371","Action, Adventure, Comedy",94 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
Just One of the Guys,1985,6.5,"15,108","Comedy, Romance",100 ,Film,PG-13,-,Moderate,None,Mild,Mild,None
Oliver!,1968,7.4,"36,689","Drama, Family, Musical",153 ,Film,G,-,None,Moderate,None,Mild,Mild
The Butler,2013,7.2,"112,018","Biography, Drama",132 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
Black Christmas,2006,4.6,"26,200",Horror,95 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
Pan Am,2006,7.0,"19,496","Drama, History, Romance",42 ,Series,TV-PG,14,None,Mild,No Rate,No Rate,No Rate
Star Trek V: The Final Frontier,1989,5.5,"58,134","Action, Adventure, Fantasy",107 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
Anatomie,2000,6.0,"12,482","Horror, Thriller",103 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
Dogman,2018,7.2,"24,887","Crime, Drama, Thriller",103 ,Film,Not Rated,-,Mild,Severe,Mild,Severe,Moderate
Midnight Express,1978,7.6,"76,805","Biography, Crime, Drama",121 ,Film,R,-,Moderate,Severe,Moderate,Severe,Severe
August Rush,2007,7.5,"105,637","Drama, Music",114 ,Film,PG,-,None,Mild,Mild,None,Mild
Suburgatory,2007,7.2,"31,380",Comedy,22 ,Series,TV-PG,57,Mild,No Rate,Mild,Mild,No Rate
Jiok,2007,6.8,31,"Crime, Drama, Fantasy",150 ,Series,TV-MA,6,No Rate,No Rate,No Rate,No Rate,No Rate
Unlocked,2017,6.3,"33,110","Action, Thriller",98 ,Film,R,-,None,Moderate,Moderate,None,Moderate
Playing with Fire,2019,5.1,"12,843","Comedy, Family",96 ,Film,PG,-,Mild,Mild,None,None,Mild
Cool World,1992,4.9,"22,442","Animation, Comedy, Fantasy",102 ,Film,PG-13,-,Moderate,Mild,Mild,Moderate,Mild
Mainstream,2020,4.9,"1,917","Comedy, Drama",94 ,Film,R,-,Moderate,None,Severe,Mild,Mild
All About Steve,2009,4.8,"41,066","Comedy, Romance",99 ,Film,PG-13,-,Mild,None,Mild,Mild,Moderate
Bloody Hell,2020,6.6,"4,760","Action, Comedy, Horror",93 ,Film,R,-,None,Moderate,Severe,Mild,Moderate
The Newsreader,2020,7.6,634,Drama,None,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate
The Mallorca Files,2020,6.6,"1,643","Crime, Drama",45 ,Series,TV-PG,16,None,Mild,Mild,Mild,Mild
Boksuneun naui geot,2002,7.6,"65,920","Crime, Drama, Thriller",129 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Moderate
A Journal for Jordan,2021,No Rate,No Votes,Drama,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Unbearable Lightness of Being,1988,7.3,"35,122","Drama, Romance",171 ,Film,R,-,Severe,Mild,None,Moderate,Mild
Elena Undone,2010,6.1,"5,706","Drama, Romance",111 ,Film,Not Rated,-,Moderate,No Rate,No Rate,No Rate,No Rate
The Tunnel,2010,7.9,"8,386","Crime, Drama, Mystery",60 ,Series,TV-MA,24,Moderate,Moderate,Mild,Moderate,Moderate
The Dukes of Hazzard,2005,5.1,"77,398",Comedy,104 ,Film,PG-13,-,Moderate,Mild,Moderate,Mild,None
The Guard,2011,7.3,"84,037","Comedy, Crime, Thriller",96 ,Film,R,-,Mild,Moderate,Severe,Mild,Mild
Walk Hard: The Dewey Cox Story,2007,6.8,"69,975","Comedy, Music",96 ,Film,R,-,Severe,Moderate,Severe,Severe,Mild
Dronningen,2019,7.1,"9,821",Drama,127 ,Film,NC-17,-,Severe,Mild,Mild,Mild,Moderate
Passions,2019,6.2,"4,461",Drama,60 ,Series,TV-14,1608,No Rate,No Rate,No Rate,No Rate,No Rate
Shivers,1975,6.4,"20,088","Horror, Sci-Fi",87 ,Film,R,-,Severe,Severe,Mild,Mild,Moderate
Taking Lives,2004,6.2,"86,632","Crime, Mystery, Thriller",103 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
Krull,1983,6.1,"31,840","Action, Adventure, Fantasy",116 ,Film,PG,-,None,Mild,None,None,Moderate
Monsters vs. Aliens,2009,6.4,"154,051","Animation, Action, Adventure",94 ,Film,PG,-,None,Mild,None,None,Mild
Papurika,2006,7.7,"77,121","Animation, Drama, Fantasy",90 ,Film,R,-,Moderate,Moderate,None,Mild,Moderate
Naked Lunch,1991,7.0,"49,514",Drama,115 ,Film,R,-,Moderate,Moderate,Moderate,Severe,Severe
Mom and Dad,2017,5.5,"22,391","Comedy, Horror, Thriller",86 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
L.A. Law,2017,7.0,"5,264",Drama,46 ,Series,TV-PG,171,Moderate,No Rate,Moderate,Moderate,No Rate
Une fille facile,2019,5.6,"4,615","Comedy, Drama",92 ,Film,TV-MA,-,Moderate,None,Mild,Moderate,None
On Golden Pond,1981,7.6,"29,558",Drama,109 ,Film,PG,-,None,None,Moderate,None,Mild
Akame ga Kill!,2014,7.8,"20,180","Animation, Action, Adventure",24 ,Series,TV-MA,49,Moderate,Severe,Mild,Mild,Severe
Together Together,2021,6.4,"4,370",Comedy,90 ,Film,R,-,Moderate,None,Moderate,Mild,Mild
Rumble Fish,1983,7.2,"33,217","Crime, Drama, Romance",94 ,Film,R,-,Moderate,Moderate,Moderate,Moderate,Moderate
The Santa Clause,1994,6.5,"104,082","Comedy, Drama, Family",97 ,Film,PG,-,None,None,Mild,None,None
Sliver,1993,5.1,"30,396","Drama, Thriller",107 ,Film,R,-,Severe,Moderate,Severe,Mild,Moderate
Short Term 12,2013,8.0,"85,207",Drama,96 ,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
Hoo-goong: Je-wang-eui cheob,2012,6.1,"1,865","Drama, History, Romance",122 ,Film,Unrated,-,Severe,Moderate,Mild,Moderate,Moderate
Newsies,1992,6.9,"19,993","Drama, Family, History",121 ,Film,PG,-,None,Mild,Mild,Mild,Mild
The Heartbreak Kid,2007,5.8,"89,299","Comedy, Romance",116 ,Film,R,-,Severe,None,Severe,Moderate,None
Sophie's Choice,1982,7.6,"45,979","Drama, Romance",150 ,Film,R,-,Mild,Mild,Moderate,Mild,Severe
The Searchers,1956,7.9,"85,507","Adventure, Drama, Western",119 ,Film,Passed,-,None,Mild,Mild,Mild,Mild
Sky Rojo,1956,6.6,"7,906","Action, Adventure, Crime",31 ,Series,TV-MA,16,Severe,Severe,Moderate,Severe,Moderate
Amazing Stories,1956,6.3,"5,383","Action, Adventure, Drama",52 ,Series,TV-PG,5,No Rate,No Rate,No Rate,No Rate,No Rate
Agora,2009,7.2,"68,016","Adventure, Biography, Drama",127 ,Film,R,-,Mild,Moderate,Mild,None,Moderate
London Fields,2018,4.0,"8,582","Crime, Mystery, Thriller",118 ,Film,R,-,Moderate,Moderate,Moderate,Moderate,Moderate
Cardinal,2018,7.7,"8,047","Crime, Drama, Mystery",42 ,Series,TV-MA,24,Mild,Severe,None,No Rate,Severe
The Last Full Measure,2019,6.8,"10,133","Drama, War",116 ,Film,R,-,None,Severe,Moderate,Mild,Moderate
Megan,2020,4.0,63,Thriller,89 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Z-O-M-B-I-E-S 3,2020,No Rate,No Votes,"Family, Musical, Romance",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Not Going Out,2020,7.6,"6,520",Comedy,30 ,Series,TV-MA,87,Mild,None,Moderate,Mild,None
Whose Line Is It Anyway?,2020,8.5,"41,538","Comedy, Game-Show",30 ,Series,TV-PG,220,Mild,None,Mild,None,None
John and the Hole,2021,5.3,"1,361","Drama, Thriller",103 ,Film,R,-,None,None,Severe,Mild,Mild
Redeeming Love,2022,No Rate,No Votes,"Drama, History, Romance",None,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate
Overdrive,2017,5.4,"13,962","Action, Adventure, Crime",93 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
The Last Days on Mars,2013,5.5,"36,305","Adventure, Horror, Sci-Fi",98 ,Film,R,-,None,Moderate,Moderate,None,Moderate
Red Riding Hood,2011,5.5,"110,202","Fantasy, Horror, Mystery",100 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
Love Story,1970,6.9,"32,921","Drama, Romance",100 ,Film,PG,-,Mild,None,Moderate,None,None
Creep 2,2017,6.5,"22,837","Crime, Drama, Horror",78 ,Film,Not Rated,-,Moderate,Moderate,Moderate,Mild,Moderate
Maximum Overdrive,1986,5.5,"31,555","Action, Comedy, Horror",98 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
The Great Outdoors,1988,6.6,"43,876",Comedy,91 ,Film,PG,-,Mild,Mild,Moderate,Mild,Mild
Dive Club,1988,6.2,570,"Adventure, Drama, Family",27 ,Series,TV-PG,12,No Rate,No Rate,No Rate,No Rate,No Rate
Aterrados,2017,6.5,"13,708",Horror,87 ,Film,Not Rated,-,None,Moderate,Mild,Mild,Severe
Rugrats,2017,4.3,509,"Animation, Adventure, Comedy",23 ,Series,TV-Y7,26,Mild,None,No Rate,No Rate,Mild
Dead & Buried,1981,6.6,"11,572","Horror, Mystery",94 ,Film,R,-,Mild,Severe,Mild,Mild,Moderate
What Ever Happened to Baby Jane?,1962,8.1,"52,998","Drama, Horror, Thriller",134 ,Film,Passed,-,None,Moderate,Mild,Mild,Moderate
Invasion of the Body Snatchers,1956,7.7,"47,318","Drama, Horror, Sci-Fi",80 ,Film,Approved,-,None,Mild,None,Mild,Mild
Asesino del Olvido,1956,7.2,40,"Crime, Drama, Thriller",60 ,Series,None,10,No Rate,No Rate,No Rate,No Rate,No Rate
Pawn Sacrifice,2014,7.0,"42,966","Biography, Drama, History",115 ,Film,PG-13,-,Mild,None,Mild,Mild,None
Pereval Dyatlova,2014,7.8,"1,952","Action, Horror, Thriller",54 ,Series,None,8,No Rate,No Rate,No Rate,No Rate,No Rate
Heist,2001,6.5,"34,933","Action, Crime, Drama",109 ,Film,R,-,Mild,Severe,Severe,Mild,Mild
Skylines,2020,4.7,"7,188","Action, Adventure, Sci-Fi",113 ,Film,R,-,None,Moderate,Mild,None,Mild
Countess Dracula,1971,6.0,"3,999",Horror,93 ,Film,PG,-,Moderate,Mild,None,Mild,Mild
Lark Rise to Candleford,1971,8.1,"7,094","Drama, Romance",53 ,Series,TV-PG,40,None,No Rate,None,Mild,Mild
Crashing,2016,7.7,"17,071",Comedy,30 ,Series,TV-MA,6,No Rate,No Rate,No Rate,No Rate,No Rate
The Best of Me,2014,6.7,"69,314","Drama, Romance",118 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
Henry: Portrait of a Serial Killer,1986,7.0,"34,279","Biography, Crime, Drama",83 ,Film,Unrated,-,Severe,Severe,Moderate,Moderate,Severe
The Glades,1986,7.5,"12,580","Action, Crime, Drama",60 ,Series,TV-14,49,Mild,No Rate,Mild,No Rate,Moderate
Being Human,1986,7.5,"24,973","Drama, Fantasy, Horror",44 ,Series,TV-14,52,Mild,Severe,Mild,Moderate,Severe
Grosse Freiheit,2021,7.7,208,Drama,116 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Phenomena,1985,6.8,"25,054","Crime, Horror, Mystery",116 ,Film,R,-,None,Severe,Mild,Mild,Severe
Takers,2010,6.2,"60,684","Action, Crime, Thriller",107 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
The Life & Times of Tim,2010,8.2,"6,151","Animation, Comedy",900 ,Series,None,30,No Rate,No Rate,No Rate,No Rate,No Rate
The Last Emperor,1987,7.7,"98,864","Biography, Drama, History",163 ,Film,PG-13,-,Moderate,Moderate,Mild,Moderate,Mild
Roman Holiday,1953,8.0,"133,645","Comedy, Romance",118 ,Film,Passed,-,None,None,None,Mild,None
Christopher Robin,2018,7.3,"73,294","Animation, Adventure, Comedy",104 ,Film,PG,-,None,None,None,None,Mild
Mil gritos tiene la noche,1982,6.1,"9,902","Horror, Mystery, Thriller",85 ,Film,Not Rated,-,Severe,Severe,Moderate,Mild,Severe
Young Guns 3: Alias Billy the Kid,2022,No Rate,No Votes,Western,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Enduring Love,2004,6.3,"10,320","Drama, Mystery, Romance",100 ,Film,R,-,Mild,Moderate,Moderate,Moderate,Mild
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,6.4,"25,269","Adventure, Comedy, Sci-Fi",103 ,Film,PG,-,None,Mild,Mild,Mild,None
The Legend of Zorro,2005,6.0,"97,559","Action, Adventure, Romance",129 ,Film,PG,-,None,Moderate,Mild,Mild,Moderate
Spree,2020,5.9,"7,261","Comedy, Crime, Drama",93 ,Film,Not Rated,-,Mild,Severe,Moderate,Mild,Moderate
About Cherry,2012,4.8,"10,218",Drama,98 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
True Grit,1969,7.4,"45,631","Adventure, Drama, Western",128 ,Film,G,-,None,Moderate,Mild,Mild,Moderate
The Incredible Hulk,1969,7.0,"12,817","Action, Adventure, Drama",60 ,Series,TV-PG,82,None,Mild,None,No Rate,Mild
The Glass House,2001,5.8,"35,395","Crime, Drama, Mystery",106 ,Film,PG-13,-,Mild,Moderate,Moderate,Moderate,Moderate
Obsessed,2009,5.0,"31,331","Drama, Romance, Thriller",108 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
Krampus,2015,6.2,"66,900","Comedy, Drama, Fantasy",98 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
Fools Rush In,1997,6.1,"34,679","Comedy, Drama, Romance",109 ,Film,PG-13,-,Mild,None,Moderate,Mild,None
Brawl in Cell Block 99,2017,7.2,"62,894","Action, Crime, Drama",132 ,Film,Not Rated,-,Mild,Severe,Moderate,Mild,Severe
'71,2014,7.2,"53,990","Action, Crime, Drama",99 ,Film,R,-,None,Severe,Severe,Mild,Moderate
I Am Lisa,2020,4.0,658,"Horror, Thriller",92 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Centaurworld,2020,7.6,"1,020","Animation, Adventure, Comedy",25 ,Series,TV-Y7,20,None,None,None,None,Mild
The Lego Movie 2: The Second Part,2019,6.6,"60,572","Animation, Adventure, Comedy",107 ,Film,PG,-,None,Mild,None,None,Mild
Kalifat,2019,8.2,"16,220","Crime, Drama, Thriller",46 ,Series,TV-MA,8,Mild,Moderate,Moderate,No Rate,No Rate
This Is How You Die,2013,6.6,44,"Short, Comedy, Horror",6 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
My So-Called Life,2013,8.3,"19,922","Comedy, Drama, Romance",60 ,Series,TV-14,19,Mild,None,Mild,Mild,Mild
Bad Santa,2003,7.0,"138,226","Comedy, Crime, Drama",92 ,Film,R,-,Moderate,Moderate,Severe,Severe,Moderate
Fire Force,2003,7.7,"5,024","Animation, Action, Drama",23 ,Series,TV-14,48,Moderate,Moderate,Mild,Mild,Mild
My Spy,2020,6.4,"27,588","Action, Comedy",99 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Mild
2025: The World Enslaved by a Virus,2021,1.3,348,"Adventure, Comedy, Sci-Fi",92 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Anger Management,2021,6.6,"30,523","Comedy, Romance",22 ,Series,TV-14,100,Moderate,Mild,Mild,Mild,None
The Owners,2020,4.9,"6,762","Comedy, Crime, Horror",92 ,Film,Not Rated,-,Mild,Moderate,Severe,Mild,Moderate
Avatar: The Last Airbender,2020,No Rate,No Votes,"Action, Adventure, Fantasy",None,Series,None,2,No Rate,No Rate,No Rate,No Rate,No Rate
Sharknado,2013,3.3,"48,258","Action, Adventure, Comedy",86 ,Film,TV-14,-,None,Severe,Mild,Mild,Mild
Tales from the Crypt: Demon Knight,1995,6.7,"22,914","Action, Fantasy, Horror",92 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
Man Down,1995,7.6,"3,790",Comedy,30 ,Series,TV-MA,26,Mild,Mild,Moderate,Mild,None
The Debt,2010,6.8,"67,883","Drama, Thriller",113 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
Ice Age: Continental Drift,2012,6.5,"199,468","Animation, Adventure, Comedy",88 ,Film,PG,-,None,Mild,None,None,Mild
Neighbors 2: Sorority Rising,2016,5.7,"117,943",Comedy,92 ,Film,R,-,Moderate,Mild,Severe,Severe,None
Outsiders,2016,7.5,"7,893","Crime, Drama",60 ,Series,TV-MA,26,Mild,Moderate,Moderate,Moderate,No Rate
The Quiet Ones,2014,5.1,"19,977","Horror, Mystery, Thriller",98 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Moderate
Marathon Man,1976,7.4,"60,858","Crime, Thriller",125 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
Little Man,2006,4.5,"52,927","Comedy, Crime",98 ,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,None
